pacing,n,mean_s,std_s,p10_s,p25_s,median_s,p90_s
Stochastic,800,3.6143545875000003,0.34657437352112,3.162645,3.39379,3.60556,4.051495
Phase-bounded,800,1.7921385000000003,0.09951317523728835,1.74688,1.74688,1.74688,1.997104
